cotacaoCompra,cotacaoVenda,dataHoraCotacao
"3,1648","3,1655",2018-01-29 13:06:08.553
"3,1655","3,1661",2018-01-30 13:03:46.59
"3,1618","3,1624",2018-01-31 13:16:53.521
"3,1724","3,173",2018-02-01 13:09:59.863
"3,2054","3,206",2018-02-02 13:06:35.781
"3,2349","3,2355",2018-02-05 13:06:11.649
"3,2607","3,2613",2018-02-06 13:09:27.952
"3,2461","3,2467",2018-02-07 13:11:42.108
"3,2686","3,2692",2018-02-08 13:10:49.731
"3,2815","3,2821",2018-02-09 13:07:05.319
"3,2531","3,2536",2018-02-14 15:38:08.622
"3,2202","3,2208",2018-02-15 13:09:36.912
"3,2375","3,2381",2018-02-16 13:04:08.586
"3,2341","3,2347",2018-02-19 13:02:49.018
"3,2501","3,2507",2018-02-20 13:05:22.267
"3,2549","3,2555",2018-02-21 13:05:52.088
